"type","mpg","wt","cyl","gear"
"Mazda RX4",21,2.62,6,4
"Mazda RX4 Wag",21,2.875,6,4
"Datsun 710",22.8,2.32,4,4
"Hornet 4 Drive",21.4,3.215,6,3
"Hornet Sportabout",18.7,3.44,8,3
"Valiant",18.1,3.46,6,3
"Duster 360",14.3,3.57,8,3
"Merc 240D",24.4,3.19,4,4
"Merc 230",22.8,3.15,4,4
"Merc 280",19.2,3.44,6,4
"Merc 280C",17.8,3.44,6,4
"Merc 450SE",16.4,4.07,8,3
"Merc 450SL",17.3,3.73,8,3
"Merc 450SLC",15.2,3.78,8,3
"Cadillac Fleetwood",10.4,5.25,8,3
"Lincoln Continental",10.4,5.424,8,3
"Chrysler Imperial",14.7,5.345,8,3
"Fiat 128",32.4,2.2,4,4
"Honda Civic",30.4,1.615,4,4
"Toyota Corolla",33.9,1.835,4,4
"Toyota Corona",21.5,2.465,4,3
"Dodge Challenger",15.5,3.52,8,3
"AMC Javelin",15.2,3.435,8,3
"Camaro Z28",13.3,3.84,8,3
"Pontiac Firebird",19.2,3.845,8,3
"Fiat X1-9",27.3,1.935,4,4
"Porsche 914-2",26,2.14,4,5
"Lotus Europa",30.4,1.513,4,5
"Ford Pantera L",15.8,3.17,8,5
"Ferrari Dino",19.7,2.77,6,5
"Maserati Bora",15,3.57,8,5
"Volvo 142E",21.4,2.78,4,4
